period,n_samples,overall_acc,Bearish_acc,Bearish_n,Neutral_acc,Neutral_n,Bullish_acc,Bullish_n
Train,200,82.5,74.42,43,77.78,63,89.36,94
Val,35,91.43,,0,71.43,7,96.43,28
Test,62,72.58,33.33,9,75.0,36,88.24,17
