period,n_samples,overall_acc,Bearish_acc,Bearish_n,Neutral_acc,Neutral_n,Bullish_acc,Bullish_n
Train,200,88.5,93.33,60,82.54,63,89.61,77
Val,35,88.57,66.67,3,100.0,8,87.5,24
Test,62,72.58,84.62,13,51.72,29,95.0,20
