strategy,total_ret_pct,annual_ret_pct,volatility_pct,sharpe,max_drawdown,win_rate_pct,days_in_market
Model,11.86,5.63,16.2,0.347,-13.07,53.31,302
Perfect Pseudo Foresight,30.34,13.81,12.0,1.151,-10.11,54.35,138
Buy and Hold,6.34,3.05,20.6,0.148,-22.98,51.46,513
