period,n_samples,overall_acc,Bearish_acc,Bearish_n,Neutral_acc,Neutral_n,Bullish_acc,Bullish_n
Train,200,91.5,91.43,35,88.0,75,94.44,90
Val,35,88.57,77.78,9,95.24,21,80.0,5
Test,62,93.55,71.43,7,96.15,26,96.55,29
