period,model_return_pct,bnh_return_pct,alpha_pct,days_in_market,days_total,pct_in_market
Train,176.205,120.599,55.606,623,1400,44.5
Val,1.636,6.185,-4.549,35,245,14.3
Test,34.636,11.706,22.93,203,516,39.3
