period,model_return_pct,bnh_return_pct,alpha_pct,days_in_market,days_total,pct_in_market
Train,298.966,216.623,82.343,735,1400,52.5
Val,25.366,37.043,-11.677,133,245,54.3
Test,34.649,2.048,32.601,180,516,34.9
