date,stock,acc_score,conf_score,acc_weight
2023-01-03,BAJFINANCE,0.605,0.783,0.876
2023-01-03,POWERGRID,0.479,0.528,0.07
2023-01-03,NTPC,0.439,0.452,0.032
2023-01-03,CIPLA,0.393,0.93,0.012
2023-01-03,ADANIPORTS,0.383,0.516,0.01
2023-02-14,ICICIBANK,0.655,0.484,0.421
2023-02-14,NTPC,0.62,0.548,0.207
2023-02-14,LT,0.605,0.818,0.154
2023-02-14,KOTAKBANK,0.593,0.663,0.12
2023-02-14,BAJFINANCE,0.582,0.593,0.098
2023-03-07,HINDALCO,0.801,0.943,0.51
2023-03-07,DRREDDY,0.755,0.447,0.205
2023-03-07,TATASTEEL,0.751,0.775,0.187
2023-03-07,AXISBANK,0.716,0.694,0.092
2023-03-07,POWERGRID,0.58,0.507,0.006
2023-04-18,DRREDDY,0.749,0.457,0.834
2023-04-18,COALINDIA,0.611,0.719,0.053
2023-04-18,POWERGRID,0.611,0.595,0.053
2023-04-18,ADANIPORTS,0.601,0.633,0.043
2023-04-18,APOLLOHOSP,0.552,0.415,0.016
2023-05-30,HINDUNILVR,0.793,0.549,0.571
2023-05-30,TITAN,0.743,0.668,0.208
2023-05-30,DIVISLAB,0.716,0.882,0.121
2023-05-30,BEL,0.699,0.583,0.087
2023-05-30,RELIANCE,0.606,0.805,0.014
2023-06-20,DIVISLAB,0.789,0.837,0.562
2023-06-20,TITAN,0.734,0.673,0.188
2023-06-20,TCS,0.726,0.719,0.16
2023-06-20,APOLLOHOSP,0.669,0.491,0.051
2023-06-20,TATACONSUM,0.655,0.711,0.039
2023-07-11,ADANIPORTS,0.691,0.465,0.556
2023-07-11,HINDUNILVR,0.661,0.538,0.302
2023-07-11,ONGC,0.585,0.572,0.066
2023-07-11,TCS,0.577,0.657,0.057
2023-07-11,RELIANCE,0.524,0.615,0.02
2023-08-22,TECHM,0.626,0.754,0.382
2023-08-22,WIPRO,0.621,0.694,0.343
2023-08-22,ADANIPORTS,0.601,0.546,0.229
2023-08-22,ONGC,0.509,0.513,0.037
2023-08-22,HCLTECH,0.436,0.505,0.009
2023-09-12,TCS,0.809,0.497,0.596
2023-09-12,INDUSINDBK,0.788,0.651,0.395
