date,stock,acc_score,conf_score,acc_weight
2023-09-12,ADANIPORTS,0.578,0.475,0.006
2023-09-12,ASIANPAINT,0.523,0.636,0.002
2023-09-12,ITC,0.489,0.454,0.001
2023-10-24,ITC,0.75,0.412,0.506
2023-10-24,COALINDIA,0.73,0.864,0.339
2023-10-24,TATACONSUM,0.655,0.962,0.076
2023-10-24,GRASIM,0.64,0.828,0.057
2023-10-24,KOTAKBANK,0.594,0.675,0.023
2023-11-14,NESTLEIND,0.689,0.811,0.484
2023-11-14,COALINDIA,0.666,0.813,0.307
2023-11-14,CIPLA,0.639,0.793,0.18
2023-11-14,MARUTI,0.528,0.619,0.019
2023-11-14,POWERGRID,0.492,0.701,0.009
2023-12-05,COALINDIA,0.912,0.826,0.752
2023-12-05,GRASIM,0.83,0.899,0.145
2023-12-05,RELIANCE,0.797,0.778,0.074
2023-12-05,POWERGRID,0.717,0.722,0.015
2023-12-05,TITAN,0.712,0.443,0.014
2023-12-26,HINDALCO,0.901,0.83,0.444
2023-12-26,RELIANCE,0.882,0.723,0.303
2023-12-26,TITAN,0.867,0.496,0.225
2023-12-26,TECHM,0.729,0.742,0.014
2023-12-26,TATACONSUM,0.727,0.942,0.014
2024-02-06,TATACONSUM,0.717,0.762,0.337
2024-02-06,TCS,0.701,0.472,0.245
2024-02-06,POWERGRID,0.697,0.636,0.228
2024-02-06,COALINDIA,0.678,0.822,0.154
2024-02-06,ONGC,0.607,0.454,0.037
2024-04-09,COALINDIA,0.62,0.76,0.464
2024-04-09,BEL,0.591,0.707,0.257
2024-04-09,GRASIM,0.583,0.897,0.223
2024-04-09,ITC,0.498,0.509,0.04
2024-04-09,APOLLOHOSP,0.451,0.457,0.016
2024-04-30,BEL,0.804,0.657,0.769
2024-04-30,ULTRACEMCO,0.696,0.476,0.088
2024-04-30,GRASIM,0.675,0.888,0.058
2024-04-30,COALINDIA,0.666,0.785,0.048
2024-04-30,TATASTEEL,0.651,0.769,0.036
2024-05-21,COALINDIA,0.705,0.757,0.497
2024-05-21,DIVISLAB,0.683,0.639,0.315
2024-05-21,HCLTECH,0.636,0.509,0.125
2024-05-21,SHRIRAMFIN,0.574,0.518,0.036
2024-05-21,BAJAJFINSV,0.56,0.52,0.027
2024-06-11,DIVISLAB,0.698,0.553,0.72
2024-06-11,AXISBANK,0.626,0.507,0.171
2024-06-11,BEL,0.574,0.696,0.06
2024-06-11,BPCL,0.532,0.522,0.026
2024-06-11,COALINDIA,0.527,0.796,0.023
2024-07-02,TECHM,0.679,0.752,0.49
2024-07-02,BEL,0.641,0.714,0.232
2024-07-02,GRASIM,0.631,0.894,0.19
2024-07-02,HDFCBANK,0.581,0.637,0.07
2024-07-02,DRREDDY,0.516,0.581,0.019
2024-07-23,TECHM,0.904,0.772,0.937
2024-07-23,BEL,0.72,0.705,0.024
2024-07-23,INDUSINDBK,0.714,0.423,0.021
2024-07-23,NTPC,0.683,0.65,0.011
2024-07-23,SUNPHARMA,0.666,0.82,0.008
2024-08-13,SUNPHARMA,0.823,0.721,0.618
2024-08-13,TECHM,0.757,0.711,0.166
2024-08-13,BRITANNIA,0.738,0.52,0.112
2024-08-13,NTPC,0.725,0.537,0.087
2024-08-13,COALINDIA,0.641,0.664,0.016
2024-09-24,ULTRACEMCO,0.673,0.455,0.834
2024-09-24,EICHERMOT,0.577,0.551,0.123
2024-09-24,TATASTEEL,0.522,0.61,0.041
2024-09-24,TECHM,0.334,0.64,0.001
2024-09-24,INDUSINDBK,0.282,0.485,0.0
2024-10-15,ULTRACEMCO,0.525,0.518,0.325
2024-10-15,WIPRO,0.524,0.643,0.322
2024-10-15,NTPC,0.52,0.464,0.296
2024-10-15,TECHM,0.432,0.55,0.051
2024-10-15,AXISBANK,0.324,0.646,0.006
2024-11-05,INDUSINDBK,0.819,0.682,0.977
2024-11-05,ULTRACEMCO,0.614,0.58,0.016
2024-11-05,HDFCBANK,0.562,0.624,0.006
2024-11-05,TATASTEEL,0.442,0.608,0.001
2024-11-05,BAJFINANCE,0.273,0.553,0.0
2024-11-26,INDUSINDBK,0.805,0.675,0.999
2024-11-26,WIPRO,0.431,0.399,0.001
2024-11-26,BRITANNIA,0.418,0.479,0.0
2024-11-26,EICHERMOT,0.356,0.806,0.0
2024-11-26,HDFCBANK,0.315,0.622,0.0
2024-12-17,KOTAKBANK,0.592,0.622,0.437
2024-12-17,SHRIRAMFIN,0.58,0.459,0.346
2024-12-17,BPCL,0.557,0.542,0.216
2024-12-17,ITC,0.303,0.502,0.001
2024-12-17,BAJAJ-AUTO,0.251,0.47,0.0
2025-01-28,ONGC,0.727,0.547,0.803
2025-01-28,ITC,0.609,0.498,0.076
2025-01-28,SBIN,0.602,0.635,0.066
2025-01-28,BPCL,0.578,0.46,0.041
2025-01-28,BAJFINANCE,0.526,0.58,0.014
2025-02-18,HINDUNILVR,0.629,0.858,0.909
2025-02-18,GRASIM,0.506,0.781,0.077
2025-02-18,BAJAJ-AUTO,0.384,0.48,0.007
2025-02-18,TITAN,0.381,0.582,0.006
2025-02-18,DIVISLAB,0.283,0.516,0.001
2025-03-11,ITC,0.571,0.528,0.641
2025-03-11,BAJFINANCE,0.512,0.508,0.194
2025-03-11,ULTRACEMCO,0.473,0.638,0.089
2025-03-11,DIVISLAB,0.463,0.623,0.073
2025-03-11,TCS,0.305,0.456,0.003
2025-04-01,BEL,0.694,0.56,0.783
2025-04-01,AXISBANK,0.623,0.653,0.19
2025-04-01,CIPLA,0.517,0.932,0.023
2025-04-01,TITAN,0.437,0.534,0.005
2025-04-01,DIVISLAB,0.32,0.71,0.0
2025-04-22,BPCL,0.783,0.498,0.626
2025-04-22,AXISBANK,0.725,0.582,0.194
2025-04-22,NESTLEIND,0.715,0.516,0.16
2025-04-22,SBIN,0.604,0.848,0.017
2025-04-22,ONGC,0.517,0.63,0.003
2025-05-13,SBIN,0.704,0.724,0.669
2025-05-13,NESTLEIND,0.648,0.553,0.216
2025-05-13,TITAN,0.571,0.575,0.047
2025-05-13,ITC,0.559,0.498,0.037
2025-05-13,ONGC,0.551,0.583,0.031
2025-06-03,BEL,0.683,0.584,0.743
2025-06-03,RELIANCE,0.612,0.679,0.179
2025-06-03,GRASIM,0.537,0.652,0.04
2025-06-03,BRITANNIA,0.526,0.637,0.032
2025-06-03,SHRIRAMFIN,0.445,0.503,0.006
2025-06-24,SHRIRAMFIN,0.705,0.509,0.929
2025-06-24,RELIANCE,0.553,0.596,0.044
2025-06-24,TITAN,0.506,0.545,0.017
2025-06-24,POWERGRID,0.454,0.562,0.006
2025-06-24,BRITANNIA,0.427,0.538,0.004
2025-07-15,TCS,0.584,0.549,0.766
2025-07-15,HINDUNILVR,0.481,0.638,0.098
2025-07-15,RELIANCE,0.456,0.557,0.059
2025-07-15,TITAN,0.449,0.604,0.052
2025-07-15,JSWSTEEL,0.412,0.397,0.025
2025-08-05,ITC,0.676,0.529,0.712
2025-08-05,HINDUNILVR,0.607,0.651,0.181
2025-08-05,ASIANPAINT,0.557,0.662,0.066
2025-08-05,DRREDDY,0.518,0.469,0.031
2025-08-05,APOLLOHOSP,0.458,0.432,0.009
2025-08-26,DIVISLAB,0.75,0.678,0.745
2025-08-26,HINDUNILVR,0.685,0.653,0.201
2025-08-26,SBIN,0.586,0.526,0.028
2025-08-26,ASIANPAINT,0.58,0.663,0.025
2025-08-26,HEROMOTOCO,0.448,0.465,0.002
2025-09-16,HEROMOTOCO,0.852,0.463,0.924
2025-09-16,HDFCBANK,0.721,0.673,0.068
2025-09-16,ASIANPAINT,0.583,0.633,0.004
2025-09-16,DRREDDY,0.552,0.47,0.002
2025-09-16,LT,0.525,0.63,0.001
2025-10-07,TATACONSUM,0.732,0.821,0.394
2025-10-07,EICHERMOT,0.717,0.498,0.295
2025-10-07,HEROMOTOCO,0.699,0.474,0.204
2025-10-07,HDFCBANK,0.649,0.696,0.075
2025-10-07,SBIN,0.607,0.595,0.033
2025-10-28,SBIN,0.725,0.55,0.361
2025-10-28,EICHERMOT,0.721,0.492,0.331
2025-10-28,LT,0.713,0.601,0.282
2025-10-28,BEL,0.579,0.458,0.019
2025-10-28,HDFCBANK,0.532,0.651,0.007
2025-11-18,RELIANCE,0.667,0.699,0.814
2025-11-18,ONGC,0.577,0.481,0.133
2025-11-18,ASIANPAINT,0.514,0.545,0.038
2025-11-18,BEL,0.465,0.492,0.014
2025-11-18,HINDALCO,0.327,0.715,0.001
2025-12-09,TITAN,0.648,0.558,0.886
2025-12-09,KOTAKBANK,0.529,0.626,0.081
2025-12-09,SBIN,0.463,0.457,0.022
2025-12-09,TATACONSUM,0.413,0.931,0.008
2025-12-09,NESTLEIND,0.366,0.647,0.003
2026-01-20,BAJAJFINSV,0.784,0.565,0.997
2026-01-20,GRASIM,0.495,0.649,0.003
2026-01-20,DRREDDY,0.344,0.583,0.0
2026-01-20,WIPRO,0.312,0.752,0.0
2026-01-20,HEROMOTOCO,0.301,0.406,0.0
2026-02-10,ONGC,0.79,0.551,0.815
2026-02-10,TECHM,0.716,0.806,0.183
2026-02-10,HEROMOTOCO,0.453,0.379,0.001
2026-02-10,KOTAKBANK,0.449,0.518,0.001
2026-02-10,BAJAJFINSV,0.266,0.476,0.0
2026-03-03,RELIANCE,0.52,0.578,0.433
2026-03-03,ONGC,0.513,0.488,0.378
2026-03-03,JSWSTEEL,0.459,0.421,0.128
2026-03-03,ITC,0.392,0.467,0.033
2026-03-03,BAJFINANCE,0.383,0.519,0.028
2026-03-24,SHRIRAMFIN,0.696,0.433,0.731
2026-03-24,BEL,0.62,0.524,0.159
2026-03-24,POWERGRID,0.585,0.545,0.079
2026-03-24,DRREDDY,0.515,0.486,0.02
2026-03-24,DIVISLAB,0.485,0.696,0.011
2026-04-14,POWERGRID,0.708,0.674,0.803
2026-04-14,ONGC,0.631,0.542,0.174
2026-04-14,BEL,0.513,0.525,0.016
2026-04-14,TITAN,0.452,0.537,0.005
2026-04-14,COALINDIA,0.411,0.751,0.002
2026-05-05,ONGC,0.773,0.458,0.463
2026-05-05,POWERGRID,0.747,0.6,0.277
2026-05-05,COALINDIA,0.721,0.759,0.162
2026-05-05,SBIN,0.696,0.565,0.098
2026-05-05,ADANIPORTS,0.31,0.506,0.0
2026-05-26,DIVISLAB,0.882,0.724,0.649
2026-05-26,BAJAJFINSV,0.838,0.68,0.269
2026-05-26,CIPLA,0.739,0.842,0.037
2026-05-26,NESTLEIND,0.736,0.926,0.035
2026-05-26,TATACONSUM,0.676,0.723,0.01
