Strategy,Total Ret %,Ann Ret %,Sharpe,Max DD %
EqWt_LongOnly,108.08,21.96,2.39,-7.57
EqWt_LongShort,122.92,24.26,2.686,-6.28
AccWt_LongOnly,137.74,26.45,1.845,-8.59
AccWt_LongShort,186.32,32.98,2.142,-9.24
BnH_EqWt,72.61,15.94,1.31,-16.3
