Strategy,Total Ret %,Ann Ret %,Sharpe,Max DD %,Win Days %
EqWt_LongOnly,104.62,25.91,2.836,-4.69,51.2
EqWt_LongShort,114.12,27.77,3.108,-4.96,53.3
AccWt_LongOnly,102.86,25.57,1.906,-8.59,47.3
AccWt_LongShort,141.65,32.84,2.224,-9.24,50.6
BnH_EqWt,76.91,20.15,1.708,-16.3,53.3
