rank,stock,signal,confidence,label_score,return_score,trust_score,combined,eq_weight,acc_weight,last_pred_date,valid_from,review_on
1,JSWSTEEL,Neutral,0.557,0.75,0.333,0.543,0.511,0.25,0.68,2026-04-24,2026-04-30,2026-05-21
2,ASIANPAINT,Bearish,0.434,0.75,0.333,0.389,0.457,0.25,0.231,2026-04-23,2026-04-30,2026-05-21
3,DRREDDY,Bearish,0.437,0.5,0.333,0.418,0.405,0.25,0.081,2026-04-23,2026-04-30,2026-05-21
4,BAJAJFINSV,Bearish,0.67,0.5,0.0,0.457,0.285,0.25,0.007,2026-04-23,2026-04-30,2026-05-21
