strategy,total_ret_pct,annual_ret_pct,volatility_pct,sharpe,max_drawdown,win_rate_pct,days_in_market
Model,19.47,9.08,9.05,1.004,-7.07,52.38,63
Perfect Pseudo Foresight,19.46,9.07,10.73,0.845,-6.08,50.48,105
Buy and Hold,8.28,3.96,23.09,0.172,-21.07,50.98,512
