strategy,total_ret_pct,annual_ret_pct,volatility_pct,sharpe,max_drawdown,win_rate_pct,days_in_market
Model,58.79,25.34,12.69,1.996,-7.71,58.99,139
Perfect Pseudo Foresight,48.4,21.26,14.41,1.476,-7.71,51.93,181
Buy and Hold,15.96,7.5,23.36,0.321,-22.45,51.17,512
