period,model_return_pct,bnh_return_pct,alpha_pct,days_in_market,days_total,pct_in_market
Train,633.377,93.892,539.485,728,1400,52.0
Val,20.955,24.545,-3.59,84,245,34.3
Test,59.917,33.568,26.349,161,516,31.2
