period,n_samples,overall_acc,Bearish_acc,Bearish_n,Neutral_acc,Neutral_n,Bullish_acc,Bullish_n
Train,200,92.5,93.02,43,92.0,50,92.52,107
Val,35,94.29,100.0,5,90.91,11,94.74,19
Test,62,87.1,81.25,16,90.0,20,88.46,26
