period,pred_regime,n_days,avg_daily,cum_return,win_rate
Train,Bullish,707,0.3619,944.14,55.02
Train,Neutral,217,0.2211,55.695,54.84
Train,Bearish,476,-0.3043,-80.288,45.38
Val,Bullish,84,0.2712,24.704,61.9
Val,Neutral,133,0.0713,8.554,51.88
Val,Bearish,28,-0.189,-5.469,42.86
Test,Bullish,189,0.1172,20.828,51.32
Test,Neutral,250,0.1563,42.181,51.2
Test,Bearish,77,-0.2051,-15.932,46.75
