stock,avg_trust,actual_acc,gap
BAJAJFINSV,0.5154201096680223,0.6388888888888888,-0.12346877922086652
AXISBANK,0.48065291245656394,0.4444444444444444,0.03620846801211952
ICICIBANK,0.44215502069820567,0.5,-0.05784497930179433
SBIN,0.4365035312411512,0.4444444444444444,-0.00794091320329321
BAJFINANCE,0.4114082170275145,0.4166666666666667,-0.005258449639152174
TCS,0.4065121293832516,0.4166666666666667,-0.010154537283415088
HDFCBANK,0.39587723557792615,0.4722222222222222,-0.07634498664429606
HCLTECH,0.3786527403461084,0.3611111111111111,0.017541629234997302
SHRIRAMFIN,0.3683960681785782,0.2222222222222222,0.14617384595635596
INFY,0.3663109531675095,0.3611111111111111,0.005199842056398396
KOTAKBANK,0.35849213814713,0.5,-0.14150786185287
TECHM,0.3508829440561507,0.3611111111111111,-0.01022816705496038
WIPRO,0.34621904447288976,0.1388888888888889,0.20733015558400086
INDUSINDBK,0.3410716595287678,0.2777777777777778,0.06329388175098999
