period,n_samples,overall_acc,Bearish_acc,Bearish_n,Neutral_acc,Neutral_n,Bullish_acc,Bullish_n
Train,200,91.5,93.33,45,83.93,56,94.95,99
Val,35,88.57,100.0,7,70.0,10,94.44,18
Test,62,72.58,85.71,14,55.17,29,89.47,19
